Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
117,118512,mipt.isa,"2014-09-26 19:04:31",0.47830,3,kaggleford
118,71789,"Romain Beaumont","2014-03-05 15:42:53",0.47750,10,romainbeaumont
119,69472,"Fangyan Sun","2013-12-19 16:15:39",0.47510,3,fangyansun
120,68495,hyenal,"2013-12-17 18:26:47",0.47400,6,hyenal
121,100271,June,"2014-06-21 03:49:11",0.47010,20,june8207735
122,67074,brownbear,"2013-11-29 20:20:25",0.46800,4,valayshah
123,112858,"Song Lin","2014-08-19 23:51:12",0.46640,4,songlin
124,102619,overthewall,"2014-06-22 17:01:38",0.46440,9,myungsuchae
125,105806,haustre,"2014-07-15 15:14:09",0.46430,1,haustre
126,63575,looschen,"2013-11-09 13:33:11",0.45660,3,looschen
127,102387,"Team 4","2014-06-22 08:27:24",0.45300,4,minseoklee
128,121628,tburm,"2014-10-17 03:45:54",0.45270,2,tburm106457
129,69491,Coco,"2013-12-19 11:19:34",0.45060,1,corradina
130,100496,"현영 김","2014-06-14 01:08:21",0.44720,1,khy208099
131,77162,"[Deleted] bf051106-1358-4dd0-ab7f-71b921dcaaf7","2014-02-17 00:03:52",0.44680,1,del=3dc3c46aca129c38
132,65399,Pena,"2013-11-25 16:38:49",0.43860,13,pena114696
133,99385,KSE525_Team2,"2014-06-21 13:27:56",0.43760,8,"jerrywang1,kyosanghwang,meerahmyoung,user206638"
134,100108,"Jerry Y","2014-06-20 19:17:18",0.43400,7,jerryy1
135,102177,Jason,"2014-06-19 08:39:26",0.43400,6,jason59
136,66289,"Timothy Man","2014-01-04 19:23:23",0.43140,11,timothyman
137,99874,"SunKyung Oh","2014-06-18 18:13:56",0.42860,6,may206241
138,86924,AirThread,"2014-05-08 13:18:18",0.41740,22,airthread
139,111848,"Kornel Skałkowski","2014-08-12 19:40:52",0.41380,1,cornic777
140,108682,"Jay Moore","2014-08-02 11:56:05",0.41230,2,jaymoore
141,71395,Ivars,"2014-01-20 14:23:56",0.41010,9,ivarssilamikelis
142,77976,ZettaHydrophile,"2014-04-19 02:02:00",0.40670,9,"elliot2,zettahydrophile"
143,73931,UCL_AML1,"2014-02-05 23:12:31",0.40330,7,"amci157951,artiomvlasov,jonathanjameshowells"
144,62506,pythonomic,"2013-11-05 08:11:04",0.39660,5,pythonomic
145,74103,"Pass the All Cats Test Team","2014-04-30 02:50:39",0.39310,17,"salvatore,thomasladd"
146,78564,Megatron,"2014-05-28 09:01:23",0.39190,15,"aysebilgegunduz,fikretaktas"
147,114211,AbimBola,"2014-10-11 13:30:27",0.39020,5,"harish5,vinaysingri0"
148,114142,Sky-Devilo,"2014-10-10 07:10:39",0.39020,17,"apratimutkarsh,arpitbbhayani,arpitbhayani"
149,114146,neophile,"2014-10-11 10:55:16",0.38800,18,"neeljinwala,rishineo"
150,120867,"John smith","2014-10-10 18:59:41",0.38640,5,johnsmith25
151,86480,"Michel Blaauw","2014-10-15 07:12:35",0.38620,3,michelblaauw
152,120970,DataBots,"2014-10-11 14:49:52",0.38350,3,"harishkv,vinaysingri"
153,120733,PatternfinderS,"2014-10-11 13:34:34",0.38320,4,"priyanshu635,smadala"
154,80404,"Emanuela Haller","2014-03-27 16:56:19",0.38180,9,ema171442
155,68281,benjylynch,"2013-12-06 13:14:38",0.37470,1,benjylynch
156,68239,OliverD,"2013-12-07 19:01:04",0.37280,2,oduerr
157,69950,"Nicolas Castelli","2013-12-24 08:17:05",0.36650,4,nicolascastelli
158,70738,apark,"2014-01-03 16:38:22",0.34740,2,apark31052
159,112350,"Adianto Wibisono","2014-08-15 20:37:28",0.33450,1,adiantowibisono
160,89356,"[Deleted] b87d3ffe-a31d-41f4-ba79-5a34ababa9f7","2014-05-25 13:59:06",0.32990,8,del=8a15b813afcad0f2
161,88765,10percent,"2014-05-30 07:15:26",0.32130,4,ersinozturk
162,118910,"Vladimir Milushev","2014-10-06 11:06:27",0.31330,6,vladimirmilushev
163,75906,"[Deleted] 9366995d-f549-4ca9-816e-d2c5e324de37","2014-02-13 08:47:21",0.31160,2,del=e860f4ea61bfda56
164,69482,DEICAPI,"2013-12-18 13:40:18",0.31100,2,deicapi
165,68769,rasmus,"2013-12-14 21:57:11",0.30580,7,rahave
166,90739,Lelocuh,"2014-04-28 05:57:12",0.30560,1,lelocuh
167,102457,DM_Team10,"2014-06-22 13:00:24",0.29030,3,dongjuseo
168,81914,LetzTag,"2014-03-19 20:25:30",0.28700,1,"chayan,geminigal"
169,100428,신진호,"2014-06-13 13:59:11",0.26880,1,user207642
170,70633,"Hiro Hosokawa","2014-01-01 06:26:35",0.26620,1,hhosokawa
171,106019,Linny,"2014-07-16 17:32:10",0.25990,1,linny214669
172,102585,Stephane,"2014-06-21 12:05:29",0.25900,1,stephane2
173,88449,fschetin,"2014-05-14 21:06:02",0.25840,2,regicidex
174,102651,"[Deleted] 0f423e89-7d94-46a0-b3ab-87fcee532094","2014-06-23 18:43:01",0.24960,2,del=75a62e51d2ea888f
175,99521,"Charisma JO","2014-06-09 17:42:53",0.24540,2,charismajo
176,91617," JunHee","2014-05-16 11:56:50",0.23910,6,junhee0
177,112508,TXAMUCCS,"2014-09-21 04:45:32",0.23400,8,iclassify
178,94514,"HOJEONG KWAK","2014-06-12 13:35:09",0.22930,9,hojeongkwak
179,89007,"Regina Phalange","2014-05-29 05:39:56",0.21770,10,"ezgizumrutulas,iremislek,iremislek1"
180,88529,blahblahblah,"2014-04-19 22:37:43",0.21450,9,blahblahblah1
181,78218,Komodo,"2014-05-30 22:20:25",0.21370,11,"anita2,ekaterina1"
182,72204,Mega2x,"2014-03-15 11:12:55",0.18760,3,yasinmasoumi
183,111466,dangermax,"2014-08-10 11:29:30",0.17720,1,dangermax
184,118324,jsheppard,"2014-09-22 16:41:36",0.17270,1,jsheppard
185,111294,"Nagender Vasireddy","2014-08-23 09:51:51",0.17070,1,nagendervasireddy
186,71633,"士川 邓","2014-01-13 23:30:06",0.14370,10,shichuandeng
187,69512,"xuan wu","2014-01-13 18:00:18",0.13090,5,xuanwu1
188,110869,"Louis Lowenbrau","2014-08-16 00:52:25",0.12940,4,louislowenbrau
189,80819,JumpNotEqual,"2014-05-30 19:17:31",0.12260,27,"mineysm,segmenm"
190,79057,typeIIerror,"2014-05-13 20:02:11",0.12250,2,"del=d440f9f1f320d496,sarioglu"
191,118727,Vaishu,"2014-09-26 06:18:05",0.11790,2,vaishu1
192,62497,"Robin East","2014-09-16 20:32:25",0.11060,6,robineast
193,97383,amelie,"2014-05-30 19:08:58",0.11040,1,amelie1
194,86566,9811107,"2014-09-16 04:19:16",0.10750,32,del=520aa824df09e7b5
195,120669,DataFish,"2014-10-10 17:51:11",0.10650,6,datafish1
196,81557,"Georgiana Scarlat","2014-03-27 22:58:08",0.10510,9,georgianascarlat
197,102615,hmmmmmmm,"2014-06-22 13:12:22",0.10470,11,juyeongcolinlee
198,63655,prof_data,"2013-11-03 02:57:39",0.10420,1,seemslegit
199,78250,benibilme,"2014-04-17 20:18:40",0.10330,2,benibilme
200,90669,mtshadow,"2014-04-30 07:04:26",0.10330,4,mtshadow
201,102483,abcdz,"2014-06-21 11:25:05",0.10280,5,abcdz209602
202,105228,PseudoAnalytics,"2014-07-21 17:03:38",0.10260,2,gmward
203,74857,Orange,"2014-04-28 14:44:11",0.10180,2,"fasw109221,gregoryclark"
204,107284,"Flyers (Jyoti_Gupta and Pradip_Das)","2014-08-06 04:51:03",0.10160,1,"jyotigupta0,pradipdas"
205,99187,xiao,"2014-10-08 10:52:13",0.10080,4,xiao3176202
206,113608,"Hamidreza Mohammadi","2014-08-20 23:11:37",0.10060,4,shamid
207,78919,tembel_hayvan,"2014-04-20 20:02:06",0.10020,3,"cemiledilerozdemir,melodidenizozturk"
208,102453,Laftworld,"2014-06-21 08:00:45",0.10020,3,laftworld
209,108589,"Leonardo Piñeyro","2014-07-30 16:42:06",0.10010,2,leopiney
0,62084,"All cats benchmark","2013-10-18 21:23:23",0.10000,1,wcukierski
210,62413,Polemarch,"2013-10-22 00:23:08",0.10000,1,polemarch
211,63164,"Young Kim","2013-10-29 14:41:38",0.10000,2,lukeskywalker
212,63476,"Francisco Zamora-Martinez","2013-10-31 16:10:11",0.10000,1,pakozm
213,63622,Diddi,"2013-11-02 06:57:52",0.10000,1,diddi101699
214,66674,"Sifar Mogwai","2013-11-25 19:47:58",0.10000,1,slothouber
215,68442,EgyFirst,"2013-12-08 02:26:18",0.10000,1,egyfirst
216,70076,"Ravi Chandibhamar","2013-12-25 13:52:11",0.10000,1,company
217,70605,"Arul A P","2013-12-31 19:15:04",0.10000,1,arulap
218,71302,"Mania Yang","2014-01-09 16:58:14",0.10000,1,yangyanzhan
219,78200,ikretus,"2014-02-23 17:04:45",0.10000,1,ikretus
220,74215,"Jeremy Samama","2014-03-04 13:19:30",0.10000,1,jeremysamama
221,78545,"Bharat Mukkala","2014-04-05 08:49:40",0.10000,1,bharatmukkala
222,95771,"Vikram Jha","2014-05-21 11:50:00",0.10000,1,invinciblejha
223,105633,"Rafael C.P.","2014-07-14 07:55:06",0.10000,1,rcpinto
224,117164,BigT,"2014-09-15 04:18:01",0.10000,1,tvural
225,117903,khomenko,"2014-09-19 14:14:39",0.10000,1,khomenko83
226,119161,nolex,"2014-09-30 05:29:30",0.10000,1,nolex240999
227,119654,Tortoise,"2014-10-02 08:54:09",0.10000,1,chandrasen
228,121282,tharunniranjan,"2014-10-13 18:29:26",0.10000,1,tharunniranjan
229,117051,"Guru Gorantla","2014-10-15 18:46:06",0.10000,4,ggorantla
230,103312,"Željko Kraljević","2014-06-26 01:09:03",0.09910,2,del=ca72b9c33cbdf320
231,112516,"Michael Davis","2014-08-16 21:30:17",0.09820,1,vcdimension
